rep,L,closed,numeric,abs_diff,max_K_drop
168,8,10.681588786955661,10.68158878695566,1.7763568394002505e-15,5.2384435846003825
169,8,40.65089666861227,40.65089666861227,0.0,1.8817215857366771
170,5,10.814913885812492,10.814913885812492,0.0,3.64312709887555
171,10,59.32611659798184,59.32611659798184,0.0,5.995919182443515
172,2,6.159518064062336,6.159518064062336,0.0,0.7754896285390194
173,9,16.956897451102126,16.956897451102126,0.0,5.498657768931426
174,4,22.963333787182506,22.963333787182506,0.0,5.231316936940919
175,7,18.600639476982224,18.600639476982227,3.552713678800501e-15,2.262281076274337
176,8,16.73865938459004,16.73865938459004,0.0,5.096035487546473
177,10,33.26756599072314,33.26756599072314,0.0,1.898402886273293
178,4,9.193607646004862,9.193607646004864,1.7763568394002505e-15,3.5093578388759923
179,7,11.48976347078114,11.48976347078114,0.0,3.4400185224523687
180,7,67.76950912770614,67.76950912770614,0.0,3.9454033796958274
181,7,23.573681686289145,23.573681686289145,0.0,5.41392247057587
182,10,11.889474853252246,11.889474853252246,0.0,7.238502406783056
183,8,53.85726006610631,53.85726006610631,0.0,5.4366362867746245
184,3,12.532526977467924,12.532526977467924,0.0,0.7993293126011445
185,9,53.459155925305595,53.459155925305595,0.0,6.627802823730097
186,10,9.464562421724422,9.464562421724422,0.0,4.8200332879711425
187,2,27.36536054385558,27.36536054385558,0.0,0.0
188,3,47.89746056946226,47.89746056946226,0.0,3.135279992767951
189,10,139.21445660054607,139.21445660054607,0.0,4.41219436057657
190,3,20.908506642478343,20.908506642478343,0.0,3.6360702382246592
191,6,21.595238416994768,21.595238416994768,0.0,0.8677935855978287
192,9,9.481038540452824,9.481038540452824,0.0,4.127716320581321
193,7,13.919587239753426,13.919587239753426,0.0,4.650283474747154
194,2,3.979425711997358,3.979425711997358,0.0,1.9968922156730757
195,8,38.0606468965514,38.0606468965514,0.0,3.4680229925184554
196,9,37.386379426109634,37.386379426109634,0.0,4.360423566068163
197,8,16.016475388521194,16.016475388521194,0.0,5.4573867207998275
198,5,22.07826513957473,22.07826513957473,0.0,1.562633161635559
199,7,75.92047021298791,75.92047021298791,0.0,1.20290720494914
200,2,9.52074598161182,9.52074598161182,0.0,0.0
